skill,operational_category,capability_role,portfolio_class,program_family,research_area,research_area_title,secondary_area,github_area_label,github_area_topic,has_sanity,confidence,classification_basis,review_priority
batch-report,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
best-practices-cots,best-practices,standards,support-enabler,,,,,,,False,high,curated-or-explicit,none
best-practices-github-ticket,best-practices,standards,support-enabler,,,,,,,True,high,curated-or-explicit,none
best-practices-greenfield,best-practices,standards,support-enabler,,,,,,,False,high,curated-or-explicit,none
best-practices-kde,best-practices,standards,support-enabler,,,,,,,True,high,curated-or-explicit,none
best-practices-port,best-practices,standards,support-enabler,,,,,,,False,high,curated-or-explicit,none
best-practices-python,best-practices,standards,support-enabler,,,,,,,True,high,curated-or-explicit,none
best-practices-readme,best-practices,standards,support-enabler,,,,,,,True,high,curated-or-explicit,none
best-practices-report,best-practices,standards,support-enabler,,,,,,,False,high,curated-or-explicit,none
best-practices-rust,best-practices,standards,support-enabler,,,,,,,False,high,curated-or-explicit,none
bootcamp,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
ccopy,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
cleanup,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
clipboard,core,capability,support-enabler,,,,,,,False,high,curated-or-explicit,none
clipboard-file,core,capability,support-enabler,,,,,,,False,high,curated-or-explicit,none
cui-marker,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
dashboard,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
dum-dum,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
monitor-website,monitor,monitor,support-enabler,,,,,,,True,high,curated-or-explicit,none
monitor-workstation,monitor,monitor,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-buzz,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-costs,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-discord,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-docker,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-f36-plant,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-google,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-herdr,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-nzbgeek,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-streamdeck,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
ops-workstation,ops,operator,support-enabler,,,,,,,True,high,curated-or-explicit,none
service-status,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
sync-sites,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
ticket,core,capability,support-enabler,,,,,,,True,high,curated-or-explicit,none
agent-inbox,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
agent-status,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
agents-registry,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,False,high,curated-or-explicit,none
align,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
ask,core,orchestrator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
assistant,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
assistant-lab,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
best-practices-agent,best-practices,standards,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,False,high,curated-or-explicit,none
best-practices-plan,best-practices,standards,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
best-practices-roundtable,best-practices,standards,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
best-practices-skills,best-practices,standards,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
best-practices-subagent,best-practices,standards,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,False,high,curated-or-explicit,none
best-practices-tau-dag,best-practices,standards,support-enabler,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,False,high,curated-or-explicit,none
browser-oracle,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
checkpoint,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
code-runner,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
codex,core,capability,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
create-code,create,creator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,high,curated-or-explicit,none
