skill,webgpt_area,webgpt_confidence,local_disciplines,resolution
assistant,agent-systems,high,model-ops|ml-training,PENDING_HUMAN_REVIEW
assistant-lab,agent-systems,high,ml-training|evaluation-quality,PENDING_HUMAN_REVIEW
best-practices-project-state,memory-knowledge,high,engineering-standards|observability-operations,PENDING_HUMAN_REVIEW
create-journal-entry,memory-knowledge,high,persona-simulation|content-creation,PENDING_HUMAN_REVIEW
learn-datalake,memory-knowledge,high,data-engineering|agentic-orchestration,PENDING_HUMAN_REVIEW
mine-transcripts,memory-knowledge,high,data-engineering|ml-training,PENDING_HUMAN_REVIEW
persona-journal,memory-knowledge,high,persona-simulation|content-creation,PENDING_HUMAN_REVIEW
project-state,memory-knowledge,high,observability-operations|evaluation-quality,PENDING_HUMAN_REVIEW
monitor-claude,model-systems-learning,high,observability-operations,PENDING_HUMAN_REVIEW
ops-claude,model-systems-learning,high,observability-operations|developer-tooling,PENDING_HUMAN_REVIEW
rate-limit-recovery,model-systems-learning,high,observability-operations|agentic-orchestration,PENDING_HUMAN_REVIEW
analytics,research-intelligence,high,data-engineering|content-creation,PENDING_HUMAN_REVIEW
argue,research-intelligence,high,agentic-orchestration|persona-simulation,PENDING_HUMAN_REVIEW
consume-feed,research-intelligence,medium,data-engineering,PENDING_HUMAN_REVIEW
create-report,research-intelligence,high,content-creation|observability-operations,PENDING_HUMAN_REVIEW
distill,research-intelligence,high,extraction|memory-knowledge,PENDING_HUMAN_REVIEW
interview,research-intelligence,high,human-collaboration,PENDING_HUMAN_REVIEW
paper-lab,research-intelligence,high,content-creation|evaluation-quality,PENDING_HUMAN_REVIEW
provider-packet,research-intelligence,high,content-creation|evaluation-quality,PENDING_HUMAN_REVIEW
best-practices-competition,security-adaptive-defense,high,engineering-standards|agentic-orchestration,PENDING_HUMAN_REVIEW
monitor-misuse,security-adaptive-defense,high,observability-operations|evaluation-quality,PENDING_HUMAN_REVIEW
thunderdome,security-adaptive-defense,high,agentic-orchestration|evaluation-quality,PENDING_HUMAN_REVIEW
debug-fetcher,verification-formal-methods,high,research-retrieval|developer-tooling,PENDING_HUMAN_REVIEW
debugger,verification-formal-methods,high,developer-tooling,PENDING_HUMAN_REVIEW
formalize-request,verification-formal-methods,high,human-collaboration|agentic-orchestration,PENDING_HUMAN_REVIEW
match-requirement,verification-formal-methods,high,memory-knowledge|compliance-security,PENDING_HUMAN_REVIEW
monitor-drift-sensors,verification-formal-methods,high,observability-operations|data-engineering,PENDING_HUMAN_REVIEW
best-practices-streamdeck,creative-media-design,high,engineering-standards|developer-tooling,PENDING_HUMAN_REVIEW
consume-music,creative-media-design,high,data-engineering|memory-knowledge,PENDING_HUMAN_REVIEW
create-stems,creative-media-design,high,voice-audio,PENDING_HUMAN_REVIEW
create-text,creative-media-design,high,data-engineering,PENDING_HUMAN_REVIEW
discover-movies,creative-media-design,high,research-retrieval,PENDING_HUMAN_REVIEW
discover-music,creative-media-design,high,research-retrieval,PENDING_HUMAN_REVIEW
ingest-movie,creative-media-design,medium,data-engineering|persona-simulation,PENDING_HUMAN_REVIEW
ingest-yt-history,creative-media-design,high,data-engineering|persona-simulation,PENDING_HUMAN_REVIEW
learn-artist,creative-media-design,medium,ml-training|voice-audio,PENDING_HUMAN_REVIEW
phart-dag-chart,creative-media-design,high,agentic-orchestration|developer-tooling,PENDING_HUMAN_REVIEW
review-music,creative-media-design,high,voice-audio|evaluation-quality,PENDING_HUMAN_REVIEW
best-practices-chat,multimodal-persona-interaction,high,engineering-standards|ui-design-engineering,PENDING_HUMAN_REVIEW
best-practices-chat-ux,multimodal-persona-interaction,high,engineering-standards|ui-design-engineering,PENDING_HUMAN_REVIEW
embry-config,multimodal-persona-interaction,high,observability-operations,PENDING_HUMAN_REVIEW
embry-dashboard,multimodal-persona-interaction,high,observability-operations|ui-design-engineering,PENDING_HUMAN_REVIEW
get-subtitles,multimodal-persona-interaction,high,data-engineering,PENDING_HUMAN_REVIEW
ingest-youtube,multimodal-persona-interaction,high,data-engineering|extraction,PENDING_HUMAN_REVIEW
ops-embry-agent,multimodal-persona-interaction,high,observability-operations,PENDING_HUMAN_REVIEW
watch,multimodal-persona-interaction,high,data-engineering|extraction,PENDING_HUMAN_REVIEW
