repository,recent_activity_theme,program_family,primary_area,secondary_area,portfolio_class,system_roles,methods,domains,lifecycle_stage,origin,counting_status,boundary_to_preserve,classification_confidence,suggested_topics
grahama1970/agent-skills,"Capability contracts, lifecycle hooks, eval posture, portfolio/site surfaces, and cross-project operator wrappers.",autonomous-systems,agent-systems,verification-formal-methods,research-platform,capability-registry;contract-library;integration-testbed,typed-contracts;composability;provenance;lifecycle-gates;agentic-evaluation,agent-systems;software-engineering,operational,original,count,Defines reusable capability and worker contracts; individual skills do not become separate portfolio projects unless they have an independent research question and proof surface.,high,ra-agent-systems;ra-verification;agent-contracts;typed-receipts;research-platform
grahama1970/extractor,"Truthful extraction facade, route ownership, artifact validation, and explicit terminal-result contracts.",evidence-assurance,extraction-document-intelligence,verification-formal-methods,research-system,extraction-router;result-assembler,deterministic-routing;fail-closed;typed-results;artifact-hashing;capability-routing,documents;engineering-data,prototype,original,count,"Extractor owns route selection, recovery, validation, and the truthful result envelope; PDF accuracy belongs to pdf_oxide and model-mediated enrichment belongs behind Tau.",high,ra-extraction;ra-verification;document-intelligence;fail-closed;extraction-router
grahama1970/pdf_oxide,"PDF robustness, document structure, security/regression verification, and cross-language library surfaces.",evidence-assurance,extraction-document-intelligence,verification-formal-methods,adapted-research-component,parser-engine;document-runtime,native-parsing;layout-analysis;forensic-pdf;corpus-benchmarking;deterministic-extraction,pdf;documents,operational,adapted-upstream,count-local-delta-only,"Owns deterministic PDF extraction and structural fidelity; it does not own application routing, model policy, or downstream claim authority.",medium,ra-extraction;ra-verification;pdf;rust;document-intelligence;benchmarking
grahama1970/fetcher,"Terminal outcome contracts, process-safe caching, source adapters, optional transports, and provenance-aware acquisition.",evidence-assurance,extraction-document-intelligence,research-intelligence,research-component,acquisition-layer;source-resolver,async-retrieval;source-fallback;content-hashing;quality-prefilters;provenance,web;documents;research,operational,extracted-internal,count,Acquires and fingerprints unstable source material; retrieval success or change detection does not prove a downstream semantic claim.,high,ra-extraction;ra-research-intelligence;web-acquisition;content-hashing;provenance
grahama1970/sparta,"Memory response hardening, evidence-case admission, privacy/policy gates, and human-review workbench convergence.",evidence-assurance,governance-compliance,memory-knowledge,application-workbench,human-evidence-workbench;domain-application,evidence-cases;graph-lineage;policy-gates;human-in-the-loop;explicit-nonclaims,space-cyber;aerospace;compliance,prototype,original,count,"The model helps navigate; governed evidence and authorized people decide. Relevance is not support, and candidate visibility is not compliance credit.",high,ra-compliance-assurance;ra-memory;space-cyber;evidence-cases;human-in-the-loop
grahama1970/graph-memory-operator,"Scoped recall, graph/vector/BM25 retrieval, governed memory lifecycle, code and artifact recall, and evidence routing.",autonomous-systems,memory-knowledge,governance-compliance,research-infrastructure,memory-substrate;retrieval-engine;routing-product,graph-retrieval;vector-retrieval;lexical-retrieval;scope-controls;provenance,agent-memory;software-engineering;knowledge,operational,original,count,"Owns memory state, source policy, recall, and route products; retrieval relevance does not confer claim support or approval authority.",high,ra-memory;ra-compliance-assurance;graph-retrieval;vector-search;memory-first;provenance
grahama1970/watchdog-probe,A deliberately small repair-and-closure fixture used to exercise project-watchdog end to end.,evidence-assurance,verification-formal-methods,,evaluation-fixture,operational-probe;repair-fixture,end-to-end-repair-test;closure-audit,software-engineering,fixture,original,exclude-evaluation-fixture,Exists to test another system's lifecycle and closure behavior; it is not an independent research program.,high,ra-verification;evaluation-fixture;project-watchdog
grahama1970/pi-mono,Local Embry voice/replay UI and SPARTA event-bridge work on an upstream multi-provider agent runtime.,autonomous-systems,agent-systems,multimodal-persona-interaction,adapted-platform,upstream-agent-runtime;ui-substrate,agent-runtime;multi-provider;terminal-ui;local-integration,agent-systems;voice-ux,operational,adapted-upstream,exclude-adapted-platform,Treat the upstream platform as implementation substrate; portfolio novelty claims attach only to the local delta and its evidence.,high,ra-agent-systems;ra-voice-persona;adapted-platform;agent-runtime
grahama1970/resume,"Career evidence, ATS-safe tailoring, and public portfolio communication.",,,,portfolio-collateral,career-workflow;portfolio-communication,claim-bound-tailoring;human-review,career,collateral,original,exclude-portfolio-collateral,Communicates and packages evidence about the research portfolio; it is not itself a research area.,high,portfolio-collateral;career-workflow;claim-bound-tailoring
grahama1970/sparta-public,Public product overview and screenshots for the private Sparta implementation.,evidence-assurance,governance-compliance,,public-projection,public-product-overview;documentation-projection,public-documentation;claim-boundary;human-review,space-cyber;compliance,projection,derivative-projection,exclude-public-projection,Inherits Sparta's research area but contains the public projection rather than an independent implementation or research line.,high,ra-compliance-assurance;public-projection;space-cyber;evidence-workbench
grahama1970/scillm,"Typed provider transport, semantic execution profiles, delegated worker surfaces, readiness, and failure normalization.",autonomous-systems,model-systems-learning,agent-systems,research-infrastructure,model-gateway;provider-transport,capability-routing;provider-normalization;typed-failures;streaming;retries;receipts,llm-infrastructure;agent-systems,operational,original-integration,count,"Owns model/provider capability and transport; Tau owns delegated workflow control and admissibility, while planners and humans own final claims.",high,ra-model-systems;ra-agent-systems;llm-gateway;provider-routing;typed-failures
grahama1970/RealtimeSTT,"Local PipeWire speech ingress, wake/listen behavior, fail-closed audio gates, transport provenance, and event lineage.",human-centered-ai,multimodal-persona-interaction,verification-formal-methods,adapted-research-component,speech-ingress;listener-event-spine,streaming-asr;vad;wake-word;transport-provenance;fail-closed-audio;turn-lineage,voice;real-time-interaction,operational,adapted-upstream,count-local-delta-only,"Transcribes and emits ingress evidence; it does not own meaning, memory, final answers, persona identity, or rendered voice.",high,ra-voice-persona;ra-verification;speech-to-text;streaming-asr;transport-provenance;adapted-upstream
grahama1970/chatterbox,"Interruptible voice rendering, ASR-gated acceptance, turn controls, cache provenance, and experimental listening/calibration work.",human-centered-ai,multimodal-persona-interaction,verification-formal-methods,adapted-research-component,speech-renderer;playback-control,interruptible-streaming;asr-gated-acceptance;cache-provenance;blinded-evaluation;calibration,voice;real-time-interaction,prototype,adapted-upstream,count-local-delta-only,"Chatterbox is the renderer; memory, QRA trust, reasoning, and emotional-steering decisions belong to the coordinator and memory pipeline.",high,ra-voice-persona;ra-verification;text-to-speech;interruptible-streaming;asr-gated;adapted-upstream
grahama1970/tau,"Durable DAG supervision, typed receipts, model and voice transport, event journals, validation, and human-owned goal boundaries.",autonomous-systems,agent-systems,verification-formal-methods,research-system,zero-trust-control-plane;orchestration-runtime,zero-trust;typed-receipts;bounded-autonomy;policy-gates;human-approval;provenance,agent-systems;software-engineering;compliance,prototype,original,count,Agents propose; Tau decides what is admissible; humans retain the goal and all high-risk approval authority.,high,ra-agent-systems;ra-verification;zero-trust;dag;typed-receipts;human-in-the-loop
