skill,operational_category,capability_role,portfolio_class,program_family,research_area,research_area_title,secondary_area,github_area_label,github_area_topic,has_sanity,confidence,classification_basis,review_priority
create-status-surface,create,creator,research-capability,autonomous-systems,agent-systems,Agent Systems & Orchestration,,area: agent-systems,ra-agent-systems,True,medium,rule-derived,human-review
monitor-memory,monitor,monitor,support-enabler,autonomous-systems,memory-knowledge,Memory & Knowledge Systems,,area: memory,ra-memory,True,medium,rule-derived,human-review
monitor-ollama,monitor,monitor,support-enabler,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,False,medium,rule-derived,human-review
train-convo-steering,train,trainer,research-capability,autonomous-systems,model-systems-learning,Model Infrastructure & Learning,,area: model-systems,ra-model-systems,True,medium,rule-derived,human-review
ingest-book,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-code,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-doc,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-kindle,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-website,ingest,ingestor,research-capability,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
monitor-pdfs,monitor,monitor,support-enabler,evidence-assurance,extraction-document-intelligence,Extraction & Document Intelligence,,area: extraction,ra-extraction,True,medium,rule-derived,human-review
ingest-compliance-doc,ingest,ingestor,research-capability,evidence-assurance,governance-compliance,"Compliance, Governance & Assurance",extraction-document-intelligence,area: compliance-assurance,ra-compliance-assurance,True,medium,rule-derived,human-review
consume-feed,consume,consumer,research-capability,evidence-assurance,research-intelligence,Research Intelligence & Evidence Synthesis,,area: research-intelligence,ra-research-intelligence,True,medium,rule-derived,human-review
monitor-security,monitor,monitor,support-enabler,evidence-assurance,security-adaptive-defense,"Security, Hacking & Adaptive Defense",,area: security-hacking,ra-security-hacking,True,medium,rule-derived,human-review
review-code,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-page,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-plan,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-question,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
review-readme,review,reviewer,research-capability,evidence-assurance,verification-formal-methods,"Verification, Evaluation & Formal Methods",,area: verification,ra-verification,True,medium,rule-derived,human-review
consume-movie,consume,consumer,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
ingest-movie,ingest,ingestor,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,extraction-document-intelligence,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
learn-artist,learn,learner,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
learn-movie,learn,learner,research-capability,human-centered-ai,creative-media-design,Generative Media & Creative Systems,,area: creative-media,ra-creative-media,True,medium,rule-derived,human-review
train-persona,train,trainer,research-capability,human-centered-ai,multimodal-persona-interaction,"Multimodal, Voice & Persona Systems",model-systems-learning,area: voice-persona,ra-voice-persona,True,medium,rule-derived,human-review
